Date;Open;High;Low;Close;Adj Close;Volume
6.04.2016;4849580078;4921509766;4849279785;4920720215;4920720215;1761770000
7.04.2016;4893569824;4901490234;4831490234;4848370117;4848370117;1908940000
8.04.2016;4883990234;4892600098;4835359863;4850689941;4850689941;1588830000
11.04.2016;4873390137;4897549805;4833399902;4833399902;4833399902;1545540000
12.04.2016;4838819824;4879600098;4808910156;4872089844;4872089844;1759280000
13.04.2016;4904790039;4951910156;4903600098;4947419922;4947419922;1936450000
14.04.2016;4947620117;4961299805;4931810059;4945890137;4945890137;1645810000
15.04.2016;4938830078;4950430176;4925459961;4938220215;4938220215;1684790000
18.04.2016;4919359863;4960790039;4915629883;4960020020;4960020020;1672260000
19.04.2016;4968299805;4968669922;4915520020;4940330078;4940330078;1824250000
20.04.2016;4941990234;4969319824;4928290039;4948129883;4948129883;1781340000
21.04.2016;4949120117;4966609863;4932640137;4945890137;4945890137;1758190000
22.04.2016;4898240234;4921660156;4872020020;4906229980;4906229980;2018930000
25.04.2016;4891479980;4904870117;4878370117;4895790039;4895790039;1582270000
26.04.2016;4903810059;4915000000;4875419922;4888279785;4888279785;1825020000
27.04.2016;4855379883;4872910156;4826379883;4863140137;4863140137;1938780000
28.04.2016;4857600098;4889160156;4796319824;4805290039;4805290039;2161400000
29.04.2016;4805790039;4807890137;4740839844;4775359863;4775359863;2376460000
2.05.2016;4786549805;4821569824;4768279785;4817589844;4817589844;1880460000
3.05.2016;4780879883;4791430176;4749709961;4763220215;4763220215;1984340000
4.05.2016;4735279785;4751640137;4713910156;4725640137;4725640137;1950800000
5.05.2016;4742419922;4744549805;4709750000;4717089844;4717089844;1888350000
6.05.2016;4695899902;4736160156;4684279785;4736160156;4736160156;1860800000
9.05.2016;4736350098;4771939941;4735060059;4750209961;4750209961;1625100000
10.05.2016;4768910156;4811299805;4758200195;4809879883;4809879883;1760120000
11.05.2016;4799299805;4812189941;4760359863;4760689941;4760689941;1859110000
12.05.2016;4778189941;4779459961;4710169922;4737330078;4737330078;1930450000
13.05.2016;4731069824;4759290039;4708259766;4717680176;4717680176;1698030000
16.05.2016;4728859863;4791250000;4724729980;4775459961;4775459961;1741510000
17.05.2016;4768850098;4776149902;4703390137;4715729980;4715729980;1925230000
18.05.2016;4705779785;4762279785;4704490234;4739120117;4739120117;1934100000
19.05.2016;4717359863;4735270020;4678379883;4712529785;4712529785;1805890000
20.05.2016;4729439941;4781700195;4729000000;4769560059;4769560059;1970520000
23.05.2016;4771569824;4792640137;4763910156;4765779785;4765779785;1865110000
24.05.2016;4792850098;4865990234;4792629883;4861060059;4861060059;1942280000
25.05.2016;4877180176;4905450195;4872419922;4894890137;4894890137;1784420000
26.05.2016;4897779785;4909379883;4887270020;4901770020;4901770020;1606250000
27.05.2016;4904049805;4933500000;4902500000;4933500000;4933500000;1505020000
31.05.2016;4938479980;4951450195;4923029785;4948049805;4948049805;2285350000
1.06.2016;4928970215;4958979980;4923200195;4952250000;4952250000;1797090000
2.06.2016;4941250000;4971359863;4924229980;4971359863;4971359863;1729050000
3.06.2016;4958100098;4958649902;4909209961;4942520020;4942520020;1697840000
6.06.2016;4950459961;4980140137;4944870117;4968709961;4968709961;1663840000
7.06.2016;4972129883;4979379883;4960279785;4961750000;4961750000;1747760000
8.06.2016;4970009766;4979660156;4956790039;4974640137;4974640137;1692640000
9.06.2016;4954149902;4965490234;4940549805;4958620117;4958620117;1632340000
10.06.2016;4915149902;4917919922;4880609863;4894549805;4894549805;1822200000
13.06.2016;4868509766;4894850098;4844939941;4848439941;4848439941;1888300000
14.06.2016;4836669922;4863009766;4811930176;4843549805;4843549805;1919710000
15.06.2016;4855080078;4868160156;4830330078;4834930176;4834930176;1802200000
16.06.2016;4809689941;4847859863;4778779785;4844919922;4844919922;1851770000
17.06.2016;4835020020;4835020020;4792339844;4800339844;4800339844;2638220000
20.06.2016;4856689941;4882149902;4834509766;4837209961;4837209961;1779560000
21.06.2016;4845080078;4852189941;4826589844;4843759766;4843759766;1698080000
22.06.2016;4846680176;4875930176;4830000000;4833319824;4833319824;1682220000
23.06.2016;4872189941;4910040039;4859399902;4910040039;4910040039;1738570000
24.06.2016;4715790039;4798220215;4698419922;4707979980;4707979980;4411040000
